feature,importance_mean,importance_std
high_amt_flag,0.23636422946667004,0.0031893668971686886
amt_log,0.0738533615456393,0.005669293485366687
is_night,0.048954467350273714,0.0016888104541915182
tx_hour,0.04557085199800304,0.002351681035224589
hour_sin,0.02390535222457648,0.0005466277182785245
amt,0.019937107701840005,0.0013873992363079778
online_flag,0.017281595367395285,0.0006209044708252961
category,0.016820936772422135,0.0017289532711497338
life_stage,0.014701333682686602,0.0017926004448797657
gender,0.013829728048321476,0.0009279759328957428
night_online,0.009838232617207177,0.0003723416067606488
hour_cos,0.0030988452635221765,0.0005958336337698709
tx_dayofweek,0.001978144417490535,0.0002671875929648497
age_years,0.0009382029076466791,0.00045384390294561064
tx_is_weekend,0.000712726076684711,0.0002850583600789521
long,9.625938182020733e-05,0.0004979863113061645
tx_month,0.0,0.0
merchant_distance_km,-8.170774019449212e-05,0.00011909442521238179
residence,-0.00013790562937192606,0.0007192045363292365
city_pop_log,-0.002212408347694228,0.00034748449180252075
state,-0.002275106230443624,0.0003917593132520823
tx_week,-0.002583340487247754,0.0007912667944841555
lat,-0.003025885840352327,0.0003228819939401109
